batch_id,product_type,steel_grade,technology_route,country_of_origin,batch_weight_tonnes,thickness_mm,recycled_content_pct,renewable_energy_pct,energy_consumption_kwh_per_tonne,scrap_quality_score,carbon_pct,manganese_pct,chromium_pct,yield_strength_mpa,tensile_strength_mpa,carbon_footprint_kgco2e_per_tonne
BATCH-0026,Hot Rolled Coil,S235JR,BF-BOF,Belgium,29.93,2.75,29.98,55.33,1944.6,65.18,0.095,1.547,0.094,285.1,418.8,1314.7
BATCH-0027,Wire Rod,S235JR,EAF,Spain,34.1,4.52,50.73,85.7,516.2,85.13,0.152,1.777,0.332,262.7,438.1,120.0
BATCH-0028,Hot Rolled Coil,S235JR,EAF,Germany,11.86,15.14,71.89,71.66,693.3,74.36,0.117,1.293,0.728,236.1,387.6,120.0
BATCH-0029,Hot Rolled Coil,S355JR,BF-BOF,Italy,8.73,12.97,18.5,45.03,1690.1,97.55,0.253,0.99,0.175,226.7,386.8,1216.7
BATCH-0030,Galvanised Coil,M270-35A,BF-BOF,Germany,34.41,22.3,26.79,50.37,1904.6,85.22,0.236,1.244,0.323,270.1,420.4,1323.4
BATCH-0031,Electrical Steel,M270-35A,BF-BOF,Germany,19.25,6.1,21.27,61.07,1765.4,59.41,0.233,0.763,0.529,223.3,379.7,1467.0
BATCH-0032,Stainless Steel,S235JR,EAF,Spain,26.19,2.41,72.68,5.87,628.6,68.08,0.232,1.418,19.845,321.2,475.9,369.0
BATCH-0033,Wire Rod,M270-35A,EAF,France,33.65,10.53,54.66,35.96,731.4,84.13,0.243,0.93,0.236,260.9,432.0,284.4
BATCH-0034,Wire Rod,304,EAF,Spain,8.66,19.19,76.42,15.36,712.6,85.03,0.343,0.995,0.331,258.4,383.8,120.0
BATCH-0035,Wire Rod,DX51D,BF-BOF,Germany,12.64,3.07,23.08,25.35,1802.9,71.86,0.163,1.477,0.29,256.7,403.8,1435.1
BATCH-0036,Hot Rolled Coil,304,EAF,Germany,29.41,0.73,59.93,75.51,627.6,67.79,0.181,1.463,0.508,282.8,447.5,120.0
BATCH-0037,Hot Rolled Coil,DX51D,BF-BOF,Spain,26.41,18.53,15.29,51.62,1862.5,66.0,0.181,0.855,0.655,225.6,336.7,1444.1
BATCH-0038,Wire Rod,S355JR,EAF,France,20.06,2.44,93.68,78.14,863.5,68.9,0.2,1.243,0.148,272.5,430.9,120.0
BATCH-0039,Hot Rolled Coil,DX51D,EAF,Germany,33.9,9.56,77.51,80.55,691.3,58.75,0.203,1.188,0.292,288.4,432.8,120.0
BATCH-0040,Galvanised Coil,304,BF-BOF,Spain,25.8,8.98,29.03,73.51,2074.4,70.68,0.289,0.937,0.546,245.9,417.5,1564.2
BATCH-0041,Wire Rod,304,EAF,Spain,8.79,0.59,71.4,69.78,714.5,62.0,0.288,1.235,0.784,300.4,454.1,120.0
BATCH-0042,Electrical Steel,S235JR,BF-BOF,Belgium,10.74,24.62,21.03,19.12,1504.9,64.48,0.198,1.152,0.551,233.7,406.2,1386.4
BATCH-0043,Electrical Steel,M270-35A,EAF,Italy,31.89,15.75,90.1,27.89,613.5,64.92,0.243,1.069,0.357,310.2,493.3,120.0
BATCH-0044,Wire Rod,S355JR,EAF,Italy,33.88,6.53,77.67,64.85,566.6,62.41,0.076,1.474,0.526,269.5,379.2,120.0
BATCH-0045,Electrical Steel,M270-35A,BF-BOF,Spain,14.62,9.8,38.45,30.59,1829.4,76.61,0.223,0.699,0.316,228.1,395.0,1286.4
BATCH-0046,Electrical Steel,S355JR,BF-BOF,Spain,14.05,16.81,5.23,36.89,1696.3,83.51,0.315,1.015,0.566,294.4,490.9,1457.4
BATCH-0047,Wire Rod,S235JR,EAF,Spain,9.17,19.77,54.56,84.59,703.9,92.41,0.02,0.946,0.332,203.5,357.1,172.1
BATCH-0048,Hot Rolled Coil,M270-35A,EAF,France,11.12,10.4,83.94,65.0,744.7,77.52,0.24,0.697,0.276,203.0,366.0,120.0
BATCH-0049,Galvanised Coil,DX51D,BF-BOF,Belgium,14.54,14.18,21.61,14.06,2006.1,57.26,0.249,1.215,0.44,243.4,389.9,1527.1
BATCH-0050,Hot Rolled Coil,S355JR,BF-BOF,Spain,32.58,8.79,23.93,66.3,1792.6,69.15,0.174,0.848,0.25,207.9,380.9,1258.3
BATCH-0051,Hot Rolled Coil,S235JR,BF-BOF,Belgium,11.64,0.95,18.03,72.47,1718.2,77.8,0.235,0.944,0.589,219.7,377.2,1224.5
BATCH-0052,Hot Rolled Coil,S235JR,BF-BOF,Italy,10.07,6.43,29.88,82.63,1464.9,85.82,0.156,1.385,0.61,282.5,479.5,812.8
BATCH-0053,Electrical Steel,S235JR,EAF,Italy,34.44,13.26,80.98,63.24,685.9,64.79,0.308,0.601,0.413,265.8,430.4,173.6
BATCH-0054,Galvanised Coil,M270-35A,BF-BOF,Belgium,10.94,7.63,26.95,13.14,1731.3,87.5,0.254,1.348,0.472,259.2,361.9,1264.0
BATCH-0055,Electrical Steel,S235JR,BF-BOF,Spain,12.62,3.07,17.9,70.05,1904.6,86.6,0.21,1.656,0.414,319.4,483.7,1364.7
BATCH-0056,Electrical Steel,S235JR,BF-BOF,Spain,22.24,22.48,20.16,60.79,1918.9,87.19,0.091,1.262,0.09,218.9,358.1,1419.5
BATCH-0057,Wire Rod,M270-35A,BF-BOF,Belgium,15.33,17.91,20.4,43.77,2094.6,83.61,0.135,1.431,0.518,293.3,442.9,1518.8
BATCH-0058,Galvanised Coil,M270-35A,BF-BOF,France,19.23,21.77,22.51,69.65,1647.6,64.99,0.029,2.073,0.007,253.6,362.7,1333.2
BATCH-0059,Hot Rolled Coil,S355JR,BF-BOF,Germany,19.25,10.03,28.52,49.64,1872.7,80.21,0.182,1.239,0.591,267.3,373.7,1264.1
BATCH-0060,Hot Rolled Coil,304,EAF,Germany,23.52,18.15,82.63,84.24,634.0,66.88,0.207,1.296,0.309,254.6,406.6,120.0
BATCH-0061,Galvanised Coil,DX51D,EAF,Italy,8.53,16.04,73.79,84.19,476.5,94.4,0.165,1.523,0.15,267.3,474.6,120.0
BATCH-0062,Wire Rod,DX51D,BF-BOF,Belgium,29.9,8.99,33.4,24.16,2005.2,57.24,0.163,0.981,0.359,250.7,347.5,1345.7
BATCH-0063,Galvanised Coil,S355JR,EAF,Belgium,17.61,8.81,77.89,42.45,701.3,84.11,0.156,0.9,0.537,229.3,348.4,120.0
BATCH-0064,Electrical Steel,304,EAF,Germany,34.9,14.86,93.19,21.87,725.8,92.45,0.124,1.146,0.583,247.2,397.7,120.0
BATCH-0065,Galvanised Coil,M270-35A,EAF,Germany,31.1,0.79,85.91,33.11,667.7,69.4,0.165,1.051,0.573,231.6,427.1,120.0
BATCH-0066,Galvanised Coil,304,BF-BOF,Spain,8.48,2.74,11.28,23.96,2104.0,65.9,0.202,0.728,0.2,207.6,362.8,1605.0
BATCH-0067,Galvanised Coil,M270-35A,BF-BOF,France,30.66,16.43,33.69,48.51,1924.2,59.81,0.064,0.702,0.156,175.7,300.0,1409.5
BATCH-0068,Wire Rod,S235JR,BF-BOF,Italy,13.44,19.49,37.9,5.05,1643.4,77.28,0.29,0.671,0.291,251.3,368.5,1206.8
BATCH-0069,Hot Rolled Coil,304,EAF,Germany,8.0,2.12,81.45,72.27,707.2,63.12,0.156,0.973,0.328,289.2,412.9,120.0
BATCH-0070,Wire Rod,M270-35A,EAF,Germany,9.22,11.95,80.54,18.51,560.7,80.33,0.136,0.774,0.345,213.9,361.9,120.0
BATCH-0071,Hot Rolled Coil,DX51D,EAF,Italy,31.21,18.43,56.9,28.3,549.9,79.62,0.245,1.349,0.071,289.3,468.2,120.0
BATCH-0072,Wire Rod,M270-35A,BF-BOF,Spain,17.5,10.39,20.97,19.87,1714.1,60.58,0.264,1.653,0.352,316.9,503.8,1195.7
BATCH-0073,Stainless Steel,S355JR,EAF,Belgium,16.9,3.51,80.27,35.09,660.9,84.75,0.308,1.324,20.117,340.1,470.9,404.5
BATCH-0074,Hot Rolled Coil,M270-35A,BF-BOF,Italy,29.69,16.33,28.78,11.55,1987.8,94.45,0.28,0.9,0.259,240.5,401.2,1404.8
BATCH-0075,Hot Rolled Coil,M270-35A,BF-BOF,Spain,34.81,23.42,18.38,78.01,1800.0,95.04,0.091,1.902,0.358,287.3,454.2,1110.0
BATCH-0076,Hot Rolled Coil,304,BF-BOF,Belgium,32.27,22.56,48.4,40.27,1864.6,61.41,0.212,0.945,0.572,271.4,476.1,1029.4
BATCH-0077,Hot Rolled Coil,304,BF-BOF,Italy,34.0,21.79,31.1,83.56,2014.5,90.4,0.25,1.004,0.087,277.6,457.4,1258.4
BATCH-0078,Galvanised Coil,DX51D,BF-BOF,France,10.38,24.09,24.42,8.99,1799.2,87.15,0.242,1.057,0.428,235.5,339.2,1479.7
BATCH-0079,Galvanised Coil,S355JR,BF-BOF,Belgium,19.03,20.33,11.31,19.67,1645.5,96.34,0.079,1.487,0.0,306.7,524.5,1398.3
BATCH-0080,Electrical Steel,DX51D,EAF,Germany,14.58,6.89,82.53,76.05,717.9,65.59,0.13,0.867,0.104,232.5,403.4,120.0
BATCH-0081,Galvanised Coil,M270-35A,EAF,France,24.68,21.18,68.81,44.42,726.6,79.78,0.136,1.747,0.69,275.9,456.0,165.4
BATCH-0082,Wire Rod,S235JR,EAF,Germany,34.15,19.7,85.77,10.05,728.7,78.04,0.239,0.489,0.203,238.5,399.7,120.0
BATCH-0083,Electrical Steel,S355JR,EAF,Spain,34.09,18.06,83.86,8.97,635.6,90.63,0.15,0.909,0.39,269.4,410.5,220.2
BATCH-0084,Hot Rolled Coil,DX51D,BF-BOF,France,25.94,21.67,36.45,81.06,1940.0,58.26,0.224,1.468,0.054,336.8,501.7,1243.0
BATCH-0085,Hot Rolled Coil,S355JR,EAF,France,28.93,0.68,78.59,27.25,580.7,77.47,0.171,2.006,0.292,296.6,457.0,120.0
BATCH-0086,Hot Rolled Coil,304,BF-BOF,Spain,31.58,13.16,8.77,39.93,2040.9,74.37,0.24,1.704,0.431,266.0,365.5,1530.3
BATCH-0087,Electrical Steel,S355JR,EAF,France,19.91,19.83,70.51,81.25,602.7,97.32,0.202,1.367,0.492,277.7,448.6,120.0
BATCH-0088,Wire Rod,304,BF-BOF,France,22.93,8.06,24.15,61.75,1480.8,90.31,0.211,0.873,0.461,263.6,404.7,952.6
BATCH-0089,Hot Rolled Coil,S235JR,EAF,Italy,31.63,4.87,83.65,70.49,614.7,96.09,0.055,0.938,0.312,217.3,380.4,120.0
BATCH-0090,Galvanised Coil,S355JR,EAF,Germany,18.58,3.92,78.02,45.08,581.5,84.9,0.125,1.43,0.514,231.3,431.8,120.0
BATCH-0091,Hot Rolled Coil,304,EAF,Belgium,18.14,15.03,93.31,64.1,433.4,65.27,0.236,1.434,0.397,310.0,417.8,120.0
BATCH-0092,Galvanised Coil,DX51D,BF-BOF,Belgium,30.5,13.09,31.16,54.67,2290.7,83.52,0.166,1.014,0.022,278.8,353.5,1555.2
BATCH-0093,Wire Rod,304,EAF,Spain,31.57,9.79,73.4,19.47,712.6,90.89,0.112,1.013,0.302,246.3,383.0,120.0
BATCH-0094,Wire Rod,304,BF-BOF,Germany,28.54,22.76,27.84,53.68,1945.5,67.69,0.085,1.54,0.145,294.5,423.5,1300.5
BATCH-0095,Wire Rod,S355JR,BF-BOF,Italy,20.63,18.46,12.22,83.67,2049.3,80.08,0.063,1.436,0.137,249.7,392.7,1478.7
BATCH-0096,Galvanised Coil,DX51D,BF-BOF,France,19.12,13.67,26.32,34.34,1952.7,59.37,0.217,1.292,0.347,236.6,429.5,1565.1
BATCH-0097,Wire Rod,M270-35A,BF-BOF,Germany,11.19,19.59,17.18,46.98,1831.9,61.3,0.325,0.908,0.158,291.5,422.2,1212.3
BATCH-0098,Hot Rolled Coil,M270-35A,BF-BOF,Belgium,16.7,9.98,35.88,40.37,1918.1,72.13,0.064,1.31,0.456,248.0,406.9,1207.2
BATCH-0099,Hot Rolled Coil,S235JR,BF-BOF,Italy,14.27,12.24,24.68,63.53,1817.2,77.31,0.214,1.003,0.479,309.2,453.2,1235.2
BATCH-0100,Stainless Steel,304,EAF,Spain,13.02,21.88,81.61,58.3,678.6,73.42,0.164,1.149,16.959,271.0,447.8,257.3
BATCH-0101,Stainless Steel,DX51D,BF-BOF,Spain,28.27,20.98,26.36,45.55,1655.0,56.6,0.175,1.231,18.993,337.8,512.6,1512.5
BATCH-0102,Galvanised Coil,S235JR,EAF,France,25.82,16.5,78.46,9.02,635.9,89.68,0.2,1.361,0.343,239.9,429.4,120.0
BATCH-0103,Hot Rolled Coil,304,BF-BOF,France,9.85,11.08,9.96,27.49,1645.5,67.74,0.078,0.467,0.442,236.6,353.7,1289.2
BATCH-0104,Stainless Steel,S235JR,EAF,Belgium,12.4,19.22,88.68,31.73,672.0,94.28,0.19,1.519,16.641,359.0,542.1,167.6
BATCH-0105,Electrical Steel,S355JR,EAF,Belgium,17.7,18.73,69.46,67.26,708.6,65.21,0.308,1.495,0.11,268.4,423.5,246.8
BATCH-0106,Electrical Steel,304,BF-BOF,Italy,19.85,10.05,5.55,38.68,1935.3,83.57,0.205,1.413,0.355,316.1,446.1,1672.7
BATCH-0107,Wire Rod,M270-35A,EAF,Italy,30.95,8.84,66.78,37.16,536.5,74.65,0.194,1.29,0.476,221.2,366.5,120.0
BATCH-0108,Hot Rolled Coil,DX51D,EAF,Germany,9.05,20.62,92.45,42.9,576.9,55.88,0.195,0.703,0.372,251.4,409.8,120.0
BATCH-0109,Hot Rolled Coil,M270-35A,EAF,France,14.04,21.27,90.5,41.72,719.1,81.2,0.174,1.491,0.674,283.8,440.4,120.0
BATCH-0110,Stainless Steel,M270-35A,BF-BOF,Germany,31.91,4.2,22.02,66.0,1847.5,56.36,0.241,0.964,16.81,327.2,487.4,1336.1
BATCH-0111,Wire Rod,DX51D,EAF,Belgium,17.99,20.34,86.14,61.98,636.6,57.32,0.268,0.918,0.355,283.2,465.0,120.0
BATCH-0112,Hot Rolled Coil,S235JR,EAF,Belgium,14.03,12.27,58.18,69.84,771.0,83.44,0.166,1.844,0.345,294.4,492.5,228.0
BATCH-0113,Wire Rod,304,BF-BOF,Germany,23.74,11.28,29.52,22.63,1857.1,76.38,0.084,1.252,0.69,260.6,432.9,1395.8
BATCH-0114,Galvanised Coil,S235JR,BF-BOF,France,33.95,8.65,26.91,68.02,1850.0,92.94,0.254,1.069,0.439,235.1,378.7,1264.5
BATCH-0115,Hot Rolled Coil,M270-35A,EAF,France,33.22,9.57,86.91,30.18,537.1,74.48,0.177,0.99,0.356,229.2,362.4,120.0
BATCH-0116,Stainless Steel,S355JR,EAF,Belgium,22.19,20.0,83.55,5.01,643.9,97.44,0.17,1.218,17.408,310.7,459.9,285.5
BATCH-0117,Electrical Steel,304,EAF,Italy,10.8,16.31,87.8,59.36,734.8,55.89,0.252,0.897,0.521,283.3,459.9,133.1
BATCH-0118,Electrical Steel,304,BF-BOF,Germany,11.96,10.07,13.09,6.0,1933.9,94.64,0.171,0.297,0.245,230.2,416.4,1629.9
BATCH-0119,Wire Rod,DX51D,EAF,Italy,16.47,16.96,76.09,13.33,735.5,64.44,0.264,0.755,0.335,255.7,392.8,135.5
BATCH-0120,Galvanised Coil,M270-35A,EAF,Germany,31.25,12.08,63.01,8.5,690.0,63.15,0.276,1.15,0.524,205.7,321.8,272.5
BATCH-0121,Galvanised Coil,304,EAF,Spain,29.58,12.15,67.7,56.54,777.7,75.89,0.264,1.421,0.189,244.5,388.9,120.0
BATCH-0122,Galvanised Coil,M270-35A,BF-BOF,Belgium,34.36,23.71,20.12,22.67,1832.2,83.04,0.217,1.376,0.526,280.6,438.4,1394.6
BATCH-0123,Hot Rolled Coil,S235JR,EAF,Germany,21.67,12.99,81.67,73.78,744.8,81.85,0.187,1.379,0.607,255.9,383.4,120.0
BATCH-0124,Wire Rod,DX51D,BF-BOF,Belgium,23.66,18.14,36.77,35.29,1680.1,70.2,0.157,0.84,0.472,233.7,359.5,1229.1
BATCH-0125,Hot Rolled Coil,M270-35A,EAF,Spain,16.54,16.25,90.62,33.49,666.8,81.44,0.114,1.229,0.24,273.1,383.2,120.0
BATCH-0126,Galvanised Coil,M270-35A,BF-BOF,Germany,21.81,16.69,15.27,48.76,1894.9,74.39,0.277,1.389,0.289,282.4,411.2,1456.0
BATCH-0127,Wire Rod,DX51D,BF-BOF,France,27.54,15.54,5.68,70.88,1767.1,63.95,0.19,1.399,0.486,231.9,395.0,1318.5
BATCH-0128,Hot Rolled Coil,S235JR,EAF,Germany,9.07,7.65,66.21,64.19,742.3,56.58,0.148,0.962,0.438,231.2,371.7,160.2
BATCH-0129,Hot Rolled Coil,S355JR,EAF,Belgium,31.96,23.53,92.78,22.56,479.7,83.09,0.226,1.37,0.841,281.9,445.8,120.0
BATCH-0130,Galvanised Coil,DX51D,EAF,Spain,24.55,6.89,83.44,69.9,713.6,80.79,0.287,1.195,0.198,292.2,437.0,120.0
BATCH-0131,Hot Rolled Coil,304,BF-BOF,France,16.45,17.24,8.6,48.08,2043.1,76.66,0.196,1.03,0.484,236.3,343.6,1401.1
BATCH-0132,Stainless Steel,M270-35A,EAF,Italy,16.71,14.11,70.98,88.93,536.6,74.43,0.256,0.778,16.968,331.4,467.1,230.2
BATCH-0133,Galvanised Coil,S235JR,BF-BOF,France,34.77,11.89,19.62,48.93,1804.0,76.68,0.265,1.068,0.0,206.7,377.1,1493.7
BATCH-0134,Wire Rod,S355JR,EAF,Italy,16.06,5.94,97.99,29.33,776.6,59.85,0.192,0.925,0.613,245.8,402.7,120.0
BATCH-0135,Galvanised Coil,S355JR,BF-BOF,Spain,23.09,18.02,41.49,69.7,1885.1,84.3,0.165,0.799,0.308,198.5,300.0,1245.7
BATCH-0136,Hot Rolled Coil,M270-35A,BF-BOF,Germany,17.71,2.21,31.1,7.49,1877.0,91.99,0.251,1.032,0.62,239.1,417.1,1389.2
BATCH-0137,Stainless Steel,S235JR,EAF,Spain,22.96,21.62,74.98,66.59,577.2,59.92,0.205,0.996,17.877,332.3,455.3,194.8
BATCH-0138,Galvanised Coil,S355JR,EAF,Belgium,19.44,19.69,65.32,51.17,634.5,88.13,0.203,1.932,0.52,283.8,409.3,120.0
BATCH-0139,Electrical Steel,S355JR,BF-BOF,Belgium,21.18,18.94,27.73,19.93,1805.2,73.01,0.179,1.463,0.287,247.9,446.3,1367.3
BATCH-0140,Hot Rolled Coil,S235JR,EAF,Germany,10.15,1.4,68.81,7.05,780.3,88.89,0.202,0.926,0.249,228.5,318.5,120.0
BATCH-0141,Galvanised Coil,304,BF-BOF,Italy,9.72,24.47,28.99,8.96,1758.8,76.68,0.151,1.539,0.785,304.7,434.3,1369.6
BATCH-0142,Galvanised Coil,DX51D,BF-BOF,France,31.04,3.01,22.26,11.95,1633.3,64.52,0.151,1.301,0.436,280.6,485.5,1415.0
BATCH-0143,Stainless Steel,DX51D,EAF,Spain,30.94,9.1,80.35,46.46,736.1,72.67,0.337,0.677,18.054,316.7,503.8,191.2
BATCH-0144,Galvanised Coil,M270-35A,EAF,France,34.42,12.25,79.79,65.14,630.3,60.25,0.179,1.179,0.367,216.4,458.4,120.0
BATCH-0145,Wire Rod,DX51D,EAF,France,24.57,22.88,87.89,16.37,659.1,55.74,0.236,1.235,0.453,221.3,364.8,120.0
BATCH-0146,Hot Rolled Coil,S355JR,EAF,Germany,16.15,18.66,80.75,18.51,684.8,56.31,0.161,1.054,0.488,234.1,394.4,120.0
BATCH-0147,Wire Rod,S355JR,BF-BOF,Italy,31.64,7.68,29.52,74.19,1834.7,96.29,0.279,0.519,0.596,232.8,415.4,1219.1
BATCH-0148,Galvanised Coil,M270-35A,BF-BOF,Italy,33.59,17.96,35.02,24.37,1803.1,97.57,0.209,0.406,0.0,292.9,402.1,1313.0
BATCH-0149,Wire Rod,DX51D,EAF,Italy,15.91,5.32,87.59,75.37,736.0,56.7,0.173,1.408,0.282,247.7,397.8,120.0
BATCH-0150,Hot Rolled Coil,S235JR,BF-BOF,France,19.24,12.59,17.95,13.08,2012.4,63.16,0.052,1.176,0.481,232.7,363.0,1567.6
BATCH-0151,Electrical Steel,304,EAF,Spain,21.66,4.16,98.0,76.14,547.8,75.96,0.141,0.907,0.673,235.1,352.3,120.0
BATCH-0152,Stainless Steel,304,BF-BOF,Spain,19.69,3.61,26.62,67.27,2044.4,82.73,0.239,1.521,19.198,324.2,449.1,1709.0
BATCH-0153,Hot Rolled Coil,S355JR,BF-BOF,Germany,23.77,23.27,38.04,17.55,1755.1,62.41,0.03,1.172,0.286,283.3,448.3,1187.6
BATCH-0154,Galvanised Coil,DX51D,EAF,France,32.39,16.93,81.26,33.73,745.4,64.14,0.121,0.733,0.457,222.2,355.8,120.0
BATCH-0155,Hot Rolled Coil,DX51D,BF-BOF,Spain,32.71,3.02,32.35,33.31,1726.0,77.11,0.02,1.207,0.91,192.2,349.3,1283.4
BATCH-0156,Galvanised Coil,S235JR,BF-BOF,Germany,10.79,10.11,24.59,16.38,1667.7,57.13,0.024,1.452,0.417,264.0,416.6,1345.3
BATCH-0157,Hot Rolled Coil,S235JR,EAF,France,27.35,21.74,77.23,37.06,670.0,77.94,0.2,0.381,0.326,236.7,398.8,122.7
BATCH-0158,Galvanised Coil,304,EAF,Belgium,11.46,6.85,86.28,62.62,678.4,92.97,0.092,1.523,0.526,285.1,478.4,120.0
BATCH-0159,Electrical Steel,304,BF-BOF,Italy,16.81,20.88,21.29,67.1,1992.1,97.44,0.203,1.551,0.337,268.2,390.1,1468.2
BATCH-0160,Electrical Steel,304,EAF,Italy,18.73,2.02,85.9,22.25,623.8,78.26,0.258,1.344,0.427,242.3,402.5,153.5
BATCH-0161,Hot Rolled Coil,S355JR,EAF,Spain,32.54,7.19,78.97,66.35,413.2,70.92,0.161,1.129,0.474,255.1,432.0,120.0
BATCH-0162,Stainless Steel,DX51D,EAF,France,17.8,15.1,82.02,27.67,785.4,88.06,0.179,1.243,17.558,322.5,456.2,476.5
BATCH-0163,Hot Rolled Coil,M270-35A,BF-BOF,Belgium,24.24,10.75,16.85,8.61,1833.6,93.78,0.136,0.823,0.259,220.7,416.7,1433.4
BATCH-0164,Hot Rolled Coil,S355JR,EAF,Germany,25.12,19.22,75.73,21.54,722.3,75.78,0.2,0.845,0.754,228.1,352.6,120.0
BATCH-0165,Galvanised Coil,304,EAF,Italy,17.74,20.46,63.48,34.09,650.9,91.35,0.181,1.659,0.153,290.6,480.0,120.0
BATCH-0166,Wire Rod,S235JR,EAF,Italy,26.85,2.09,75.34,8.05,647.6,73.36,0.093,0.959,0.171,217.0,391.9,120.0
BATCH-0167,Electrical Steel,S235JR,EAF,France,22.23,8.79,69.74,13.1,633.6,74.35,0.148,1.01,0.395,279.6,418.8,179.4
BATCH-0168,Electrical Steel,M270-35A,BF-BOF,Spain,16.74,22.41,16.53,35.28,2081.5,79.84,0.274,1.403,0.187,299.7,507.2,1572.9
BATCH-0169,Wire Rod,S235JR,EAF,Germany,20.32,16.15,76.93,83.59,701.3,73.59,0.274,0.462,0.489,266.8,382.4,120.0
BATCH-0170,Stainless Steel,304,BF-BOF,Spain,13.5,8.62,31.89,59.04,1897.9,65.8,0.19,0.943,17.817,285.2,446.7,1458.7
BATCH-0171,Hot Rolled Coil,DX51D,EAF,Spain,8.91,14.91,88.21,84.42,639.9,92.59,0.02,0.979,0.521,228.5,337.9,120.0
